Altium Designer Pick and Place Locations
Q:\SuSo\Hardware\Schaltplan und Layout\SuSo_rev1.1x\Production\SuSo_rev_1_1_2\Pick&Place for SuSo_rev_1_1.csv

========================================================================================================================
File Design Information:

Date:       17.11.20
Time:       11:28
Revision:   Not in VersionControl
Variant:    SuSo_rev_1_1_2
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","RFFE_PartNo","ProductionPackage"
"X2","Fiducial","BottomLayer","PG_FIDUCIAL_1MM_2MM","34.5000","0.0000","180","",""
"X1","Fiducial","TopLayer","PG_FIDUCIAL_1MM_2MM","34.5000","0.0000","0","",""
"C13","100nF","TopLayer","PG_C0402_(1005Metrisch)","19.5250","0.7500","90","C-XX100N-X50402-01","*C0402"
"R5","147k","TopLayer","PG_R0201_(0603Metrisch)","15.3500","-3.7000","270","R-XX147K-XX0201-01","*R0201"
"R1","20k","BottomLayer","PG_3302","27.3500","-3.3500","90","P-XX20k0-xBTC42-01","*P3302"
"R60","6.8","TopLayer","PG_R0402_(1005Metrisch)","22.9000","-0.5000","0","R-XX6R80-XX0402-01","*R0402"
"R54","430k","TopLayer","PG_R0402_(1005Metrisch)","23.8500","-1.5250","180","R-XX430K-XX0402-01","*R0402"
"L4","3.3nH","TopLayer","PG_L0201_(0603Metrisch)","6.6750","-1.5250","360","L-XX3N30-XX0201-01","*L0201"
"L3","3.3nH","TopLayer","PG_L0201_(0603Metrisch)","12.9500","1.0250","360","L-XX3N30-XX0201-01","*L0201"
"C4","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","21.2200","-3.5250","90","C-XX6N80-X70402-01","*C0402"
"C1","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","20.3600","1.0650","270","C-XX6N80-X70402-01","*C0402"
"C2","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","16.8250","-3.5650","270","C-XX6N80-X70402-01","*C0402"
"C3","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","25.2800","1.7900","270","C-XX6N80-X70402-01","*C0402"
"C5","10pF","BottomLayer","PG_C0402_(1005Metrisch)","25.6800","3.1700","360","C-XX10P0-CG0402-01","*C0402"
"C6","10pF","BottomLayer","PG_C0402_(1005Metrisch)","22.1000","2.4650","270","C-XX10P0-CG0402-01","*C0402"
"C7","6.8nF","TopLayer","PG_C0402_(1005Metrisch)","21.1250","3.8400","90","C-XX100N-X70402-50","*C0402"
"C8","6.8nF","TopLayer","PG_C0402_(1005Metrisch)","24.8150","3.4200","270","C-XX6N80-X70402-01","*C0402"
"C9","10uF","TopLayer","PG_C0603_(1608Metrisch)","19.5000","2.9250","90","C-XX10U0-X50603-01","*C0603"
"C10","100nF","TopLayer","PG_C0201_(0603Metrisch)","16.0750","1.6000","270","C-XX100N-X50201-01","*C0201"
"C11","100nF","TopLayer","PG_C0201_(0603Metrisch)","17.7250","1.6000","270","C-XX100N-X50201-01","*C0201"
"C12","100nF","TopLayer","PG_C0201_(0603Metrisch)","16.6250","1.6000","90","C-XX100N-X50201-01","*C0201"
"C14","100nF","TopLayer","PG_C0201_(0603Metrisch)","17.1750","1.6000","270","C-XX100N-X50201-01","*C0201"
"C17","27pF","TopLayer","PG_C0402_(1005Metrisch)","21.1500","0.4750","360","C-XX27P0-CG0402-01","*C0402"
"C18","330pF","TopLayer","PG_C0402_(1005Metrisch)","22.9250","0.5000","360","C-XX330P-CG0402-01","*C0402"
"C33","2.2pF","TopLayer","PG_C0201_(0603Metrisch)","13.2250","-1.8500","270","C-XX2P20-NP0201-01","*C0201"
"C34","2.4pF","TopLayer","PG_C0201_(0603Metrisch)","13.4250","-3.0000","90","C-XX2P40-NP0201-01","*C0201"
"L1","0","TopLayer","PG_L0201_(0603Metrisch)","13.9750","-3.6000","270","R-XX0R00-XX0201-01","*L0201"
"L2","0","TopLayer","PG_L0201_(0603Metrisch)","12.6750","-2.4000","90","R-XX0R00-XX0201-01","*L0201"
"R48","15","TopLayer","PG_R0201_(0603Metrisch)","12.6750","-1.2500","270","R-XX15R0-XX0201-01","*R0201"
"R49","20","TopLayer","PG_R0201_(0603Metrisch)","13.9500","-2.4000","90","R-XX20R0-XX0201-01","*R0201"
"R53","75","TopLayer","PG_R0402_(1005Metrisch)","19.8500","-1.5000","180","R-XX75R0-XX0402-01","*R0402"
"R59","15","TopLayer","PG_R0402_(1005Metrisch)","20.9750","-0.5000","360","R-XX15R0-XX0402-01","*R0402"
"R61","100","TopLayer","PG_R0402_(1005Metrisch)","23.1200","1.7050","360","R-XX100R-XX0402-01","*R0402"
"R62","100","BottomLayer","PG_R0402_(1005Metrisch)","24.2900","2.4900","270","R-XX100R-XX0402-01","*R0402"
"R64","0","BottomLayer","PG_R0402_(1005Metrisch)","23.2500","2.4900","270","R-XX0R00-XX0402-01","*R0402"
"U3","AD8033AKSZ","TopLayer","PG_SOT353_(SC88A,_SC70-5)","22.9950","3.4100","360","A-AD8033-xSC705-01","*SOT353"
"C35","10uF","TopLayer","PG_C0603_(1608Metrisch)","19.3750","-4.0250","360","C-XX10U0-X50603-01","*C0603"
"C36","100nF","TopLayer","PG_C0201_(0603Metrisch)","16.0750","-3.7250","90","C-XX100N-X50201-01","*C0201"
"C37","100nF","TopLayer","PG_C0201_(0603Metrisch)","17.1750","-3.7250","270","C-XX100N-X50201-01","*C0201"
"C38","100nF","TopLayer","PG_C0201_(0603Metrisch)","16.6250","-3.7250","270","C-XX100N-X50201-01","*C0201"
"C39","100nF","TopLayer","PG_C0201_(0603Metrisch)","17.7250","-3.7250","90","C-XX100N-X50201-01","*C0201"
"C42","10pF","TopLayer","PG_C0402_(1005Metrisch)","21.2450","1.7250","360","C-XX10P0-CG0402-01","*C0402"
"R52","51k","TopLayer","PG_R0402_(1005Metrisch)","21.9250","-1.5250","360","R-XX51K0-XX0402-01","*R0402"
"C63","100nF","TopLayer","PG_C0402_(1005Metrisch)","30.1750","3.5250","90","C-XX100N-X50402-01","*C0402"
"C62","100nF","TopLayer","PG_C0402_(1005Metrisch)","29.0750","-3.1000","180","C-XX100N-X50402-01","*C0402"
"C61","100nF","TopLayer","PG_C0402_(1005Metrisch)","28.9750","-1.4750","180","C-XX100N-X50402-01","*C0402"
"C60","100nF","BottomLayer","PG_C0402_(1005Metrisch)","30.0750","3.2000","90","C-XX100N-X50402-01","*C0402"
"C15","6.8nF","TopLayer","PG_C0402_(1005Metrisch)","29.1950","2.0850","270","C-XX6N80-X70402-01","*C0402"
"C16","100nF","TopLayer","PG_C0402_(1005Metrisch)","30.1950","1.5800","270","C-XX100N-X50402-01","*C0402"
"C19","1.0uF","BottomLayer","PG_C0402_(1005Metrisch)","14.9500","3.0250","180","C-XX1U00-X50402-01","*C0402"
"C20","1.0uF","BottomLayer","PG_C0402_(1005Metrisch)","17.0250","2.0750","180","C-XX1U00-X50402-01","*C0402"
"C21","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","12.3250","3.3750","180","C-XX6N80-X70402-01","*C0402"
"C22","6.8nF","TopLayer","PG_C0402_(1005Metrisch)","12.2750","3.3750","360","C-XX6N80-X70402-01","*C0402"
"C23","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","6.0500","-3.6500","180","C-XX6N80-X70402-01","*C0402"
"C24","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","8.6750","-3.0250","360","C-XX6N80-X70402-01","*C0402"
"C25","1.0uF","TopLayer","PG_C0402_(1005Metrisch)","11.3250","0.3250","180","C-XX1U00-X50402-01","*C0402"
"C26","1.0uF","TopLayer","PG_C0402_(1005Metrisch)","11.3250","-1.9500","180","C-XX1U00-X50402-01","*C0402"
"C27","3.3nF","TopLayer","PG_C0201_(0603Metrisch)","4.9000","-2.4000","360","C-XX3N30-X50201-01","*C0201"
"C31","0.2pF","TopLayer","PG_C0201_(0603Metrisch)","3.5000","-2.8250","270","C-XX0P20-CG0201-01","*C0201"
"C32","0.3pF","TopLayer","PG_C0201_(0603Metrisch)","4.3750","-1.8750","360","C-XX0P30-CG0201-01","*C0201"
